Please enter the number of the paper you are grading.	Intent: Shuffle cards per instructions (Check all that apply)	Intent: Identify original shuffle method as more efficient (Check all that apply)	Number of Syntax Errors (Enter as number)	Any other comments on Question 1	Intent: Find and return length of longest word in wordList	"Intent: Create two words, combine and test for dictionary addition, then add"	Intent: Create signature capable of accepting data to specify characters to reveal	Number of Syntax Errors (Enter as number)	Any other comments on Question 2
23	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	5	
24	"+ .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration		cant read b	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	+ 1 Create ArrayList of type String		cant read the document
24	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer"		0	you tried :(	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 loop starting at 3 characters to max, + 1 return compoundWords"	0	nice handwriting
25	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ .5 find a max value using findMaxLength, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	1	
26	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
27	"+ .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer"		2	"""compairable"""				2	"while(true) without break statement, it hurt."
27	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	2		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"				
28	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max"	0	
28	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum)"		0	R U T H L E S S	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
